dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
appendicitis,AB,2,0,95,11,1,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.09047579765319824,0.007763385772705078
appendicitis,AB,2,0,95,11,2,1.0,1.0,1.0,1.0,1.0,0.09503340721130371,0.0070743560791015625
appendicitis,AB,2,0,95,11,3,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.09173274040222168,0.007760286331176758
appendicitis,AB,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.0811166763305664,0.007675647735595703
appendicitis,AB,2,0,95,11,5,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.11576294898986816,0.011780261993408203
appendicitis,AB,2,0,95,11,6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5416666666666666,0.07955431938171387,0.008604288101196289
appendicitis,AB,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.07834982872009277,0.007340431213378906
appendicitis,AB,2,0,96,10,8,0.8,0.9,0.8,0.819047619047619,0.875,0.0858914852142334,0.00790095329284668
appendicitis,AB,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.09434103965759277,0.00804901123046875
appendicitis,AB,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.09357476234436035,0.008180856704711914
appendicitis,DT,2,0,95,11,1,0.7272727272727273,0.6545454545454545,0.7272727272727273,0.6889952153110048,0.4444444444444444,0.0008568763732910156,9.036064147949219e-05
appendicitis,DT,2,0,95,11,2,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.0008335113525390625,0.0001480579376220703
appendicitis,DT,2,0,95,11,3,0.7272727272727273,0.6545454545454545,0.7272727272727273,0.6889952153110048,0.4444444444444444,0.0008442401885986328,0.000148773193359375
appendicitis,DT,2,0,95,11,4,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.0006871223449707031,0.00011777877807617188
