dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
appendicitis,AEE,2,0,95,11,1,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.16419410705566406,0.010208606719970703
appendicitis,AEE,2,0,95,11,2,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.10750436782836914,0.0038459300994873047
appendicitis,AEE,2,0,95,11,3,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.14250922203063965,0.005934238433837891
appendicitis,AEE,2,0,95,11,4,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.11258220672607422,0.004512310028076172
appendicitis,AEE,2,0,95,11,5,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.17117094993591309,0.003961801528930664
appendicitis,AEE,2,0,95,11,6,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875599,0.5,0.09624028205871582,0.004842996597290039
appendicitis,AEE,2,0,96,10,7,0.8,0.64,0.8,0.7111111111111111,0.5,0.10566997528076172,0.005604982376098633
appendicitis,AEE,2,0,96,10,8,0.8,0.64,0.8,0.7111111111111111,0.5,0.1197822093963623,0.004297971725463867
appendicitis,AEE,2,0,96,10,9,0.8,0.64,0.8,0.7111111111111111,0.5,0.12213444709777832,0.00433039665222168
appendicitis,AEE,2,0,96,10,10,0.8,0.64,0.8,0.7111111111111111,0.5,0.10187172889709473,0.0046727657318115234
appendicitis,ARF,2,0,95,11,1,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.6014113426208496,0.006123781204223633
appendicitis,ARF,2,0,95,11,2,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.5869505405426025,0.008164167404174805
appendicitis,ARF,2,0,95,11,3,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.6285378932952881,0.0066280364990234375
appendicitis,ARF,2,0,95,11,4,0.8181818181818182,0.6694214876033059,0.8181818181818182,0.7363636363636363,0.5,0.5664572715759277,0.007431983947753906
appendicitis,ARF,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.625159740447998,0.007234811782836914
appendicitis,ARF,2,0,95,11,6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5416666666666666,0.6023530960083008,0.0076563358306884766
appendicitis,ARF,2,0,96,10,7,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.6817448139190674,0.008056163787841797
appendicitis,ARF,2,0,96,10,8,0.8,0.64,0.8,0.7111111111111111,0.5,0.5458261966705322,0.0054552555084228516
appendicitis,ARF,2,0,96,10,9,0.8,0.64,0.8,0.7111111111111111,0.5,0.6420867443084717,0.0062410831451416016
appendicitis,ARF,2,0,96,10,10,0.8,0.64,0.8,0.7111111111111111,0.5,0.6102218627929688,0.007099151611328125
appendicitis,DWM,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.0487673282623291,0.0028235912322998047
appendicitis,DWM,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.047287940979003906,0.0028390884399414062
appendicitis,DWM,2,0,95,11,3,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.04779505729675293,0.002783536911010742
appendicitis,DWM,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.06334567070007324,0.006094932556152344
appendicitis,DWM,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.04752969741821289,0.003503084182739258
appendicitis,DWM,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.04652142524719238,0.0029342174530029297
appendicitis,DWM,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.06605195999145508,0.0040934085845947266
appendicitis,DWM,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.0362858772277832,0.0027647018432617188
appendicitis,DWM,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.058652400970458984,0.0033140182495117188
appendicitis,DWM,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.04296994209289551,0.0020859241485595703
appendicitis,EFDT,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.03118419647216797,0.003949165344238281
appendicitis,EFDT,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.015100240707397461,0.0022149085998535156
appendicitis,EFDT,2,0,95,11,3,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.03238701820373535,0.0049114227294921875
appendicitis,EFDT,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.0182034969329834,0.003734588623046875
appendicitis,EFDT,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.031012296676635742,0.004362344741821289
appendicitis,EFDT,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.03050398826599121,0.004373788833618164
appendicitis,EFDT,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.03160834312438965,0.004422664642333984
appendicitis,EFDT,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.027102947235107422,0.0013697147369384766
appendicitis,EFDT,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.03493618965148926,0.004834175109863281
appendicitis,EFDT,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.017078638076782227,0.001386880874633789
appendicitis,EVQ,2,0,95,11,1,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.06003308296203613,0.0013222694396972656
appendicitis,EVQ,2,0,95,11,2,1.0,1.0,1.0,1.0,1.0,0.06583404541015625,0.0003273487091064453
appendicitis,EVQ,2,0,95,11,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.08504796028137207,0.0010135173797607422
appendicitis,EVQ,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.06831145286560059,0.0017147064208984375
appendicitis,EVQ,2,0,95,11,5,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.0869140625,0.0016803741455078125
appendicitis,EVQ,2,0,95,11,6,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7708333333333333,0.08969998359680176,0.0015201568603515625
appendicitis,EVQ,2,0,96,10,7,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.06091165542602539,0.00051116943359375
appendicitis,EVQ,2,0,96,10,8,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.08382749557495117,0.0004863739013671875
appendicitis,EVQ,2,0,96,10,9,0.8,0.8,0.8,0.8,0.6875,0.07023787498474121,0.0011129379272460938
appendicitis,EVQ,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.07544803619384766,0.0016181468963623047
appendicitis,HAT,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.06474614143371582,0.006800651550292969
appendicitis,HAT,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.04622936248779297,0.004868984222412109
appendicitis,HAT,2,0,95,11,3,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.056096792221069336,0.0052852630615234375
appendicitis,HAT,2,0,95,11,4,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.0427701473236084,0.0027179718017578125
appendicitis,HAT,2,0,95,11,5,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.058531999588012695,0.003557920455932617
appendicitis,HAT,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.06206321716308594,0.0034694671630859375
appendicitis,HAT,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.0687105655670166,0.004051923751831055
appendicitis,HAT,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.051378488540649414,0.0026350021362304688
appendicitis,HAT,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.058420658111572266,0.0015680789947509766
appendicitis,HAT,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.05959630012512207,0.002269268035888672
appendicitis,HT,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.029441356658935547,0.0035758018493652344
appendicitis,HT,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.02854776382446289,0.004624366760253906
appendicitis,HT,2,0,95,11,3,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.024875640869140625,0.004447460174560547
appendicitis,HT,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.028561115264892578,0.004614353179931641
appendicitis,HT,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.030536651611328125,0.0044405460357666016
appendicitis,HT,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.03146529197692871,0.004273653030395508
appendicitis,HT,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.015268802642822266,0.0027761459350585938
appendicitis,HT,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.026123762130737305,0.0037381649017333984
appendicitis,HT,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.016783475875854492,0.0037016868591308594
appendicitis,HT,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.033739328384399414,0.0038864612579345703
appendicitis,KNNI,2,0,95,11,1,0.7272727272727273,0.6545454545454545,0.7272727272727273,0.6889952153110048,0.4444444444444444,0.005898475646972656,0.0005812644958496094
appendicitis,KNNI,2,0,95,11,2,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.005808830261230469,0.0011010169982910156
appendicitis,KNNI,2,0,95,11,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.005925655364990234,0.0015447139739990234
appendicitis,KNNI,2,0,95,11,4,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.004719972610473633,0.0012104511260986328
appendicitis,KNNI,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.002782106399536133,0.0007178783416748047
appendicitis,KNNI,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.005021333694458008,0.0007092952728271484
appendicitis,KNNI,2,0,96,10,7,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.006075620651245117,0.0006301403045654297
appendicitis,KNNI,2,0,96,10,8,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.004938602447509766,0.0012552738189697266
appendicitis,KNNI,2,0,96,10,9,0.8,0.8,0.8,0.8,0.6875,0.005811214447021484,0.0009601116180419922
appendicitis,KNNI,2,0,96,10,10,0.9,0.9333333333333333,0.9,0.9066666666666666,0.9375,0.005151033401489258,0.0015273094177246094
appendicitis,LVQ,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.07712769508361816,0.0018954277038574219
appendicitis,LVQ,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.06240129470825195,0.0010793209075927734
appendicitis,LVQ,2,0,95,11,3,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,0.638888888888889,0.07578420639038086,0.0003581047058105469
appendicitis,LVQ,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.07055425643920898,0.0006623268127441406
appendicitis,LVQ,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.07405376434326172,0.0005259513854980469
appendicitis,LVQ,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.09658122062683105,0.00034236907958984375
appendicitis,LVQ,2,0,96,10,7,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.07941436767578125,0.0013976097106933594
appendicitis,LVQ,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.08156514167785645,0.0007712841033935547
appendicitis,LVQ,2,0,96,10,9,0.8,0.9,0.8,0.819047619047619,0.875,0.08250617980957031,0.0002856254577636719
appendicitis,LVQ,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.0672609806060791,0.0005018711090087891
appendicitis,LVQ2,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.10397672653198242,0.0006005764007568359
appendicitis,LVQ2,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.11545610427856445,0.0004754066467285156
appendicitis,LVQ2,2,0,95,11,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.11238265037536621,0.0007538795471191406
appendicitis,LVQ2,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.1059720516204834,0.0005669593811035156
appendicitis,LVQ2,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.11666321754455566,0.0006945133209228516
appendicitis,LVQ2,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.12125492095947266,0.0003376007080078125
appendicitis,LVQ2,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.10241365432739258,0.0003666877746582031
appendicitis,LVQ2,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.10976004600524902,0.0006060600280761719
appendicitis,LVQ2,2,0,96,10,9,0.9,0.9333333333333333,0.9,0.9066666666666666,0.9375,0.11861371994018555,0.0005321502685546875
appendicitis,LVQ2,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.1309189796447754,0.0011327266693115234
appendicitis,LVQ2.1,2,0,95,11,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.12489509582519531,0.0008699893951416016
appendicitis,LVQ2.1,2,0,95,11,2,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.10036206245422363,0.0002722740173339844
appendicitis,LVQ2.1,2,0,95,11,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.1442699432373047,0.0005142688751220703
appendicitis,LVQ2.1,2,0,95,11,4,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6944444444444444,0.11224603652954102,0.0002579689025878906
appendicitis,LVQ2.1,2,0,95,11,5,1.0,1.0,1.0,1.0,1.0,0.14267969131469727,0.0007581710815429688
appendicitis,LVQ2.1,2,0,95,11,6,0.7272727272727273,0.7597402597402598,0.7272727272727273,0.7376623376623376,0.7083333333333334,0.12802958488464355,0.0006532669067382812
appendicitis,LVQ2.1,2,0,96,10,7,0.8,0.8,0.8,0.8,0.6875,0.14884352684020996,0.0007224082946777344
appendicitis,LVQ2.1,2,0,96,10,8,0.8,0.8,0.8,0.8,0.6875,0.12980961799621582,0.0003914833068847656
appendicitis,LVQ2.1,2,0,96,10,9,0.9,0.9111111111111111,0.9,0.8862745098039216,0.75,0.11810421943664551,0.0004684925079345703
appendicitis,LVQ2.1,2,0,96,10,10,1.0,1.0,1.0,1.0,1.0,0.15148711204528809,0.0004527568817138672
appendicitis,LVQ3,2,0,95,11,1,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743,0.9444444444444444,0.1240241527557373,0.0008549690246582031
appendicitis,LVQ3,2,0,95,11,2,0.6363636363636364,0.8787878787878788,0.6363636363636364,0.6753246753246753,0.7777777777777778,0.09014391899108887,0.0002346038818359375
appendicitis,LVQ3,2,0,95,11,3,0.7272727272727273,0.890909090909091,0.7272727272727273,0.7584415584415585,0.8333333333333334,0.14711856842041016,0.0010786056518554688
appendicitis,LVQ3,2,0,95,11,4,0.9090909090909091,0.9181818181818181,0.9090909090909091,0.8963317384370018,0.75,0.12235641479492188,0.0005249977111816406
appendicitis,LVQ3,2,0,95,11,5,0.7272727272727273,0.890909090909091,0.7272727272727273,0.7584415584415585,0.8333333333333334,0.16757702827453613,0.0010235309600830078
