,algorithm,auc,auc +/-,accuracy,accuracy +/-,precision,precision +/-,recall,recall +/-,f1,f1 +/-
1,SEVQ,0.7939655922957158,0.16620680450983852,0.7751039204322974,0.2179264744103194,0.7893255764969028,0.20671526067195425,0.7751039204322974,0.2179264744103194,0.7737769159191846,0.2193400040892556
2,NB,0.790812532195673,0.14424444291530927,0.756401325490826,0.19206762858262005,0.7694550101549325,0.1993538549692548,0.756401325490826,0.19206762858262005,0.7469158948064062,0.2047121258513878
3,EVQ,0.7825186840153838,0.15968662068240652,0.7847533689471776,0.193417911612773,0.7911308746398311,0.19268831162191546,0.7847533689471776,0.193417911612773,0.7781078606872595,0.1981974713195302
4,HAT,0.7798271479557234,0.15914043462403055,0.7611737942290724,0.19349611622413468,0.7504837991144648,0.21668000893017877,0.7611737942290724,0.19349611622413468,0.74138362616947,0.2130037238619978
5,SFAM,0.7792532253464597,0.15503702766256858,0.7589790869974403,0.20391593755509926,0.7790792932806685,0.19571704040713447,0.7589790869974403,0.20391593755509926,0.7568234260124137,0.2052597436004266
6,HT,0.7748718215297278,0.15916312321785356,0.7623218642295513,0.1921676734830928,0.7476490849797037,0.22063711665273747,0.7623218642295513,0.1921676734830928,0.7410182122991316,0.21325184994584506
7,AEE,0.7648125512634008,0.14894091278535407,0.7183074830471562,0.21828818842535963,0.7225494233469416,0.23340366325796266,0.7183074830471562,0.21828818842535963,0.7012932889405851,0.23418231482546442
8,OB,0.762057046951191,0.16874137039436138,0.7629738715646488,0.21677653671864333,0.7592882720618763,0.2331870032429457,0.7629738715646488,0.21677653671864333,0.7449447164490814,0.23484442338787448
9,KNNI,0.7596442966116256,0.16799608298746901,0.759270592277891,0.21680320310213763,0.7555512101864663,0.23305147164984832,0.759270592277891,0.21680320310213763,0.7415545687054009,0.2342180122690258
10,EFDT,0.7572871617289667,0.15680955367106722,0.7359452433823634,0.21218438421955407,0.732561891602935,0.2332706801212666,0.7359452433823634,0.21218438421955407,0.7134707662034763,0.2322384604564928
11,ARF,0.7532628150707297,0.165135275234356,0.7174727339393788,0.24179000917973148,0.6826153005433906,0.2849630899068663,0.7174727339393788,0.24179000917973148,0.6806650173422181,0.279199527465418
12,LVQ2,0.749734703056564,0.16040822836000537,0.7315842996289221,0.22332627289379936,0.7257740045391551,0.236996797939052,0.7315842996289221,0.22332627289379936,0.7153960845243675,0.24004792258296861
13,LVQ,0.7376633360940755,0.1657829006598785,0.7247016566501306,0.22870298432606784,0.7096430543707212,0.25372714426709736,0.7247016566501306,0.22870298432606784,0.6985017957495694,0.2546205693989312
14,LVQ2.1,0.7356258163245388,0.16659083377955883,0.7288230877186447,0.22710034174814928,0.7072379205851345,0.26602930505443384,0.7288230877186447,0.22710034174814928,0.6992630935387307,0.2597208937652132
15,DWM,0.7354527512739077,0.15995853228579324,0.6743449223173492,0.26237617162604043,0.6745333034181178,0.28775794805620075,0.6743449223173492,0.26237617162604043,0.6563141768151397,0.28318233069314064
16,LVQ3,0.6705402407578125,0.1642109845116531,0.6578353277879182,0.21317570131644198,0.6485938153809092,0.22614532122378858,0.6578353277879182,0.21317570131644198,0.6261654177681903,0.22267794107082964
