,algorithm,auc,auc +/-,accuracy,accuracy +/-,precision,precision +/-,recall,recall +/-,f1,f1 +/-
1,XGB,0.8396184958772401,0.14882388673628927,0.8293926275129452,0.17331514670754972,0.8313964761629622,0.1749759576758469,0.8293926275129452,0.17331514670754972,0.821848903628904,0.18191889588407542
2,MLP,0.7879000194246902,0.1675723383527557,0.7986496427562965,0.18105064233721055,0.7912136080094275,0.19328207001490405,0.7986496427562965,0.18105064233721055,0.7828164878472192,0.19550409273296376
3,SEVQ,0.7871575232733641,0.1654484658406369,0.7643446611219674,0.22078508785706738,0.7790750987287299,0.21133096192105005,0.7643446611219674,0.22078508785706738,0.7629131986164089,0.22206915605756378
4,GNB,0.7855553102414676,0.14142590414108022,0.7032433526757244,0.2231841490845687,0.7737181492607537,0.18876447813915218,0.7032433526757244,0.2231841490845687,0.6986417097082257,0.2296161240731838
5,DT,0.7850671172298653,0.13965964065596764,0.7566684289459199,0.18527140258146182,0.7582253444094469,0.19064788974066132,0.7566684289459199,0.18527140258146182,0.7434264401302103,0.19633251505744223
6,RF,0.781923730238089,0.14893619866236332,0.7926267164204758,0.17506648739821778,0.7828205448070695,0.18717820431524523,0.7926267164204758,0.17506648739821778,0.7751480765993002,0.19139148961939487
7,KNN,0.7791793267344308,0.17004276211946986,0.7762778792681883,0.20483717873268378,0.7792732365094308,0.21053319987329575,0.7762778792681883,0.20483717873268378,0.7660074981746274,0.2132604321525029
8,AB,0.7511799162635283,0.14959039786131348,0.7010011117171379,0.2459447080509453,0.6806405037222626,0.2697666455636731,0.7010011117171379,0.2459447080509453,0.6747043381673758,0.27060356016355275
9,SVC,0.7463643888306186,0.17492268871408584,0.7631808482225082,0.2018546874385148,0.7360552196908954,0.2366216121721295,0.7631808482225082,0.2018546874385148,0.732667648231746,0.22777329526741064
10,QDA,0.7462552242879438,0.17550995186430238,0.6747550725179247,0.2842774094970635,0.6982184878949155,0.2865976022341407,0.6747550725179247,0.2842774094970635,0.6548801095126677,0.30008981216392905
11,NC,0.7159137483601705,0.14470671502292418,0.6288746821079602,0.20125704551632245,0.6998253097001139,0.19429614197377332,0.6288746821079602,0.20125704551632245,0.6315252553244048,0.20069995577883581
