algorithm,accuracy,precision,recall,f1,auc
XGB,0.8967113383882912,0.8925138511785476,0.8967113383882912,0.8896447334914828,0.8971469580983078
SEVQ,0.8500000000000001,0.8616390782213567,0.8500000000000001,0.8456327870831477,0.8260467183462429
RF,0.8408385093167702,0.8511062624371363,0.8408385093167702,0.8305990548918059,0.806629884004884
MLP,0.8292579878531819,0.842986174698577,0.8292579878531819,0.818891526633462,0.8088128306878307
KNN,0.8226342710997443,0.8337679227186562,0.8226342710997443,0.8162594527895692,0.8098867395954324
SVC,0.8086080586080586,0.8148970143652617,0.8086080586080586,0.7869306747546652,0.75
DT,0.7993243243243243,0.7968632961326105,0.7993243243243243,0.7840908503212213,0.8
QDA,0.7777777777777778,0.8084548675941755,0.7777777777777778,0.7485357106952183,0.7669054540420819
GNB,0.772188131407618,0.8181818181818182,0.772188131407618,0.7694555226941457,0.8121481481481483
AB,0.754727612865418,0.7441426038688452,0.754727612865418,0.7399359006034756,0.75
NC,0.6603050562295227,0.75258142314093,0.6603050562295227,0.6580105442295248,0.7108172727932636
