algorithm,train_time,pred_time
NC,0.001512941386964586,0.0003920190864139133
GNB,0.0038184192445543078,0.0007631282011667887
QDA,0.01010230580965678,0.0012975090079837374
DT,0.024992958042356704,0.00031530989540947806
KNN,0.03199754291110569,0.06772653592957391
RF,0.04558774431546529,0.004594494236840142
AB,0.3550577561060588,0.01376568012767368
SVC,0.7022315641244252,0.08950063056415981
MLP,2.1676985952589245,0.0005403955777486166
XGB,3.4584926545619963,0.007492382658852471
SEVQ,4.534941887855529,0.04989444348547194
