,SEVQ,Algorithm,p-value
1,SEVQ,AEE,5.710355899979418e-05
2,SEVQ,ARF,0.03736331805190869
3,SEVQ,DWM,6.399683849055488e-08
4,SEVQ,EFDT,0.019896910759443494
5,SEVQ,EVQ,0.3275008200737949
6,SEVQ,HAT,0.17372215535939717
7,SEVQ,HT,0.22138463227414962
8,SEVQ,KNNI,0.9418826740810962
9,SEVQ,LVQ,7.375410540162025e-06
10,SEVQ,LVQ2,5.840359898491467e-05
11,SEVQ,LVQ2.1,2.2597058719918275e-05
12,SEVQ,LVQ3,2.0734271519154028e-24
13,SEVQ,NB,0.01891420520199887
14,SEVQ,OB,0.369291860380507
15,SEVQ,SFAM,1.5737251131933973e-06
