,Algorithm,accuracy p-value,auc p-value
1,AB,0.05632222212303818,0.014418902471743525
2,DT,0.9889398659877991,0.5876545564871773
3,GNB,7.49444951573777e-05,0.5383632183232068
4,KNN,0.00019570976754111497,0.6422919766548558
5,MLP,1.3920227002927993e-06,0.32014666028906824
6,NC,3.825106890521963e-27,5.824098075547142e-18
7,QDA,0.0008005875140172297,0.001210698737232489
8,RF,8.707597004626055e-05,0.23416148076050836
9,SVC,0.2322771127194071,5.296566923310445e-06
10,XGB,8.801688692265914e-23,2.502704059015555e-19
