,Algorithm,accuracy p-value,auc p-value
1,AEE,5.710355899979418e-05,0.001284156469036556
2,ARF,0.03736331805190869,0.00011950572644604694
3,DWM,6.399683849055488e-08,1.889317299783219e-06
4,EFDT,0.019896910759443494,3.2922252743442075e-05
5,EVQ,0.3275008200737949,0.02092249043362662
6,HAT,0.17372215535939717,0.05865045519785812
7,HT,0.22138463227414962,0.011971378044114625
8,KNNI,0.9418826740810962,0.00026640680689995756
9,LVQ,7.375410540162025e-06,7.376504958330956e-13
10,LVQ2,5.840359898491467e-05,8.720428017556815e-09
11,LVQ2.1,2.2597058719918275e-05,5.154018617520727e-14
12,LVQ3,2.0734271519154028e-24,4.220268981396906e-28
13,NB,0.01891420520199887,0.5311070046922999
14,OB,0.369291860380507,0.0025124768870089602
15,SFAM,1.5737251131933973e-06,1.781764837264927e-05
