,Algorithm,AUC,Accuracy,Precision,Recall,F1
1,XGB,0.840±0.149,0.829±0.173,0.831±0.175,0.829±0.173,0.822±0.182
2,MLP,0.788±0.168,0.799±0.181,0.791±0.193,0.799±0.181,0.783±0.196
3,SEVQ,0.787±0.165,0.764±0.221,0.779±0.211,0.764±0.221,0.763±0.222
4,GNB,0.786±0.141,0.703±0.223,0.774±0.189,0.703±0.223,0.699±0.230
5,DT,0.785±0.140,0.757±0.185,0.758±0.191,0.757±0.185,0.743±0.196
6,RF,0.782±0.149,0.793±0.175,0.783±0.187,0.793±0.175,0.775±0.191
7,KNN,0.779±0.170,0.776±0.205,0.779±0.211,0.776±0.205,0.766±0.213
8,AB,0.751±0.150,0.701±0.246,0.681±0.270,0.701±0.246,0.675±0.271
9,SVC,0.746±0.175,0.763±0.202,0.736±0.237,0.763±0.202,0.733±0.228
10,QDA,0.746±0.176,0.675±0.284,0.698±0.287,0.675±0.284,0.655±0.300
11,NC,0.716±0.145,0.629±0.201,0.700±0.194,0.629±0.201,0.632±0.201
